Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
BANDAR UNIVERSITI,Seri Iskandar,Perak,Leasehold,"Terrace House, Semi D",250000.0,175.0,43
SERENE HEIGHTS,Semenyih,Selangor,Freehold,Terrace House,781800.0,445.0,43
TAS,Kuantan,Pahang,Freehold,Terrace House,185000.0,158.0,43
BANDAR TUN HUSSEIN ONN,Cheras,Selangor,Freehold,"Terrace House, Semi D",800000.0,390.0,43
TAMAN BUKIT DAHLIA,Pasir Gudang,Johor,"Freehold, Leasehold",Terrace House,480000.0,353.0,43
TAMAN BUKIT KEMPAS,Tampoi,Johor,Freehold,Terrace House,480000.0,291.0,43
TAMAN PUTRA PRIMA,Puchong,Selangor,Freehold,Terrace House,780000.0,454.0,43
DESA MAYANG SARI,Nilai,Negeri Sembilan,Freehold,Terrace House,718000.0,511.0,42
TAMAN DAMAI JAYA,Skudai,Johor,Freehold,Terrace House,325000.0,387.0,42
USJ 11,Subang Jaya,Selangor,Freehold,Terrace House,900000.0,513.0,42
TAMAN WIDURI,Sungai Jawi,Penang,Freehold,Terrace House,260000.0,224.0,42
BANDAR EKAR,Rantau,Negeri Sembilan,Freehold,Terrace House,235789.0,145.0,42
Greenfield Regency,Tampoi,Johor,Freehold,Service Residence,391500.0,485.0,42
OVERSEAS UNION GARDEN,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,"Bungalow, Terrace House",923000.0,519.0,41
TAMAN PARKLAND,Kluang,Johor,Freehold,Terrace House,150000.0,107.0,41
TAMAN TEHEL INDAH,Bemban,Melaka,Freehold,Terrace House,497000.0,337.0,41
TAMAN KLEMERU (P/L : 48396),Ipoh,Perak,Leasehold,Terrace House,403000.0,229.0,41
TAMAN BUKIT PERMATA,Selayang,Selangor,Freehold,Terrace House,310281.0,56.0,41
RPA SRI TANJUNG,Sungai Petani,Kedah,Freehold,Terrace House,27049.0,43.0,41
TAMAN BANDAR BARU SUNGAI LALANG,Sungai Petani,Kedah,Freehold,Terrace House,200000.0,151.0,41
UDA UTAMA,Johor Bahru,Johor,Freehold,Terrace House,809662.0,487.0,41
NILAI IMPIAN,Nilai,Negeri Sembilan,Freehold,Terrace House,639888.0,383.0,41
"TAMAN KELANA, RANTAU PANJANG",Kapar,Selangor,Freehold,Terrace House,473000.0,354.0,40
TIARA SENDAYAN - PRESINT 14C,Labu,Negeri Sembilan,Freehold,Terrace House,512650.0,350.0,40
TAMAN DESA IMPIAN,Simpang Ampat,Penang,Freehold,Cluster House,880000.0,314.0,40
BANDAR BESTARI@CANARY GARDEN,Klang,Selangor,Freehold,Cluster House,1449665.0,620.0,40
TAMAN SRI PENAWAR,Pengerang,Johor,Leasehold,Terrace House,525000.0,375.0,40
BANDAR SERI BOTANI,Simpang Pulai,Perak,"Freehold, Leasehold",Terrace House,448800.0,288.0,40
TAMAN RASA UTAMA,Batang Kali,Selangor,Leasehold,Terrace House,250000.0,187.0,40
TAMAN DESA TANJUNG MINYAK (SERI BERTAM),Tanjong Minyak,Melaka,Leasehold,Terrace House,260000.0,181.0,39
TAMAN CANNING,Ipoh,Perak,"Freehold, Leasehold","Terrace House, Semi D, Bungalow",425000.0,171.0,39
TAMAN PUSING SAKURA,Batu Gajah,Perak,Leasehold,Terrace House,330880.0,236.0,39
M SENYUM SALAK TINGGI,Sepang,Selangor,Leasehold,Terrace House,555210.0,463.0,39
BB SETIA AWAN PERDANA RESIDEN 8,Sitiawan,Perak,Freehold,Terrace House,245000.0,205.0,39
TAMAN KLUANG PERDANA,Kluang,Johor,Freehold,"Semi D, Terrace House",199900.0,110.0,39
TAMAN MENGKIBOL,Kluang,Johor,Freehold,Terrace House,379000.0,237.0,39
RPR BANDAR BARU SAMARIANG,Kuching,Sarawak,Leasehold,Terrace House,200000.0,195.0,39
TAMAN PULAI UTAMA,Skudai,Johor,Freehold,Terrace House,595000.0,340.0,39
TAMAN SUTERA,Perling,Johor,Freehold,Terrace House,780000.0,306.0,39
SEKSYEN 17,Petaling Jaya,Selangor,Freehold,"Bungalow, Terrace House, Semi D",948000.0,464.0,39
Taman Pandan Jaya,Cheras,Selangor,Leasehold,Flat,185000.0,313.0,39
Venice Hill,Cheras,Selangor,Freehold,Condominium,250000.0,162.0,39
Green Haven,Masai,Johor,Freehold,Service Residence,631950.0,530.0,39
Sri Penara,Cheras,Kuala Lumpur,Leasehold,Apartment,280000.0,433.0,39
TAMAN BUKIT KATIL DAMAI,Bukit Katil,Melaka,Leasehold,"Semi D, Terrace House",488000.0,338.0,38
HAPPY GARDEN,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,"Leasehold, Freehold",Terrace House,912500.0,445.0,38
BERCHAM NOBEL RESIDENCES,Ipoh,Perak,Freehold,Terrace House,335000.0,238.0,38
TAMAN MERPATI INDAH,Kulim,Kedah,Freehold,Terrace House,462000.0,330.0,38
MUTIARA HILLS @ SEMENYIH,Semenyih,Selangor,Freehold,Terrace House,547770.0,391.0,38
LEXVIEW,Ipoh,Perak,"Freehold, Leasehold",Terrace House,458880.0,298.0,38
BANDAR SERI ALAM,Pasir Gudang,Johor,Freehold,Terrace House,340000.0,361.0,38
TAMAN PINGGIR PENGKALAN PERMAI,Ipoh,Perak,Freehold,Cluster House,688000.0,262.0,38
BANDAR PUTRA BERTAM,Kepala Batas,Penang,Freehold,"Terrace House, Cluster House",350000.0,275.0,38
TAMAN PULAI HIJAUAN,Skudai,Johor,Freehold,"Terrace House, Cluster House",655000.0,329.0,38
KAMPUNG BARU KERTIH,Kerteh,Terengganu,"Freehold, Leasehold","Semi D, Terrace House",350000.0,108.0,38
TAMAN PANDAN INDAH,Ampang,Selangor,Leasehold,"Terrace House, Town House",522500.0,511.0,38
SAUJANA IMPIAN,Kajang,Selangor,Freehold,"Terrace House, Bungalow",540000.0,330.0,38
TAMAN GAYA,Ulu Tiram,Johor,Freehold,Cluster House,1034400.0,409.0,38
P/L 104445 & P/L 104476(LOT 2507),Kuantan,Pahang,Freehold,Terrace House,271790.0,174.0,38
SCIENTEX KUNDANG JAYA,Rawang,Selangor,Freehold,Terrace House,504339.0,403.0,37
SPRINGVILLE @VICTORIA COUNTRY,Sitiawan,Perak,Freehold,Terrace House,435000.0,288.0,37
TAMAN MOLEK RESIDEN,Ayer Molek,Melaka,Freehold,Terrace House,435800.0,312.0,37
TAMAN EMAS BIDOR,Bidor,Perak,Leasehold,Terrace House,90000.0,75.0,37
SETIA ECOHILL,Beranang,Selangor,Freehold,"Cluster House, Terrace House",680000.0,419.0,37
TAMAN SRI TEBRAU,Johor Bahru,Johor,Freehold,Terrace House,680000.0,336.0,37
BANDAR BUKIT TINGGI,Klang,Selangor,Freehold,Terrace House,750000.0,468.0,37
TAMAN KELADI FASA 1,Sungai Petani,Kedah,Freehold,Terrace House,200000.0,152.0,37
BAYAN BARU,Bayan Baru,Penang,Leasehold,"Cluster House, Terrace House, Semi D",570000.0,376.0,37
TAMAN MUHIBAH,Kulai,Johor,Freehold,Terrace House,290000.0,342.0,37
BANDAR BUKIT PUCHONG,Puchong,Selangor,Freehold,Terrace House,640000.0,418.0,37
BANDAR AMANJAYA (ZON KENANGA),Sungai Petani,Kedah,Freehold,Semi D,320000.0,136.0,37
Rifle Range,Ayer Itam,Penang,Leasehold,Flat,72000.0,188.0,37
Tebrau City Residences,Tebrau,Johor,Freehold,Service Residence,380000.0,365.0,37
Pangsapuri Lagoon Perdana,Bandar Sunway,Selangor,Leasehold,Apartment,210000.0,235.0,37
Farlim 4,Ayer Itam,Penang,Freehold,Flat,130000.0,254.0,37
Mahsuri Flat,Bayan Baru,Penang,Leasehold,Flat,156000.0,308.0,37
DENAI ALAM,Shah Alam,Selangor,Freehold,Terrace House,900000.0,446.0,36
ECO ARDENCE,Setia Alam,Selangor,Freehold,"Bungalow, Semi D",1880000.0,708.0,36
SELANGOR CYBER VALLEY-RESIDENCY AURORA,Dengkil,Selangor,Leasehold,Terrace House,1042000.0,573.0,36
"TAMAN IDAMAN, SUNGAI SEGAMAT",Segamat,Johor,Leasehold,Terrace House,117500.0,81.0,36
BAYU SUTERA - PRECINCT 4A,Jimah,Negeri Sembilan,Freehold,Terrace House,700888.0,483.0,36
BANDAR BARU BIDOR,Bidor,Perak,Leasehold,Terrace House,268000.0,187.0,36
IRAMA SENDAYAN 2D,Labu,Negeri Sembilan,Freehold,Terrace House,628888.0,444.0,36
TAMAN DESA ILMU,Kota Samarahan,Sarawak,Leasehold,"Terrace House, Semi D",380000.0,175.0,36
USJ 2,Subang Jaya,Selangor,Freehold,Terrace House,745000.0,450.0,36
TAMAN SENGGARANG,Senggarang,Johor,Freehold,Terrace House,150000.0,107.0,36
ELMINA EAST,Shah Alam,Selangor,Freehold,"Terrace House, Semi D",921500.0,547.0,36
TAMAN SUTERA UTAMA,Skudai,Johor,Freehold,"Cluster House, Terrace House",1065000.0,474.0,36
BANDAR PUTERI JAYA SEKSYEN 2,Sungai Petani,Kedah,Freehold,Terrace House,275000.0,180.0,36
LAMAN HARIS @ ECO GRANDEUR,Ijok,Selangor,Leasehold,Terrace House,455000.0,325.0,36
MATANG JAYA,Kuching,Sarawak,Leasehold,"Semi D, Terrace House, Bungalow",350000.0,151.0,36
BANDAR BOTANI PARKLAND,Jasin,Melaka,Freehold,Terrace House,120700.0,100.0,35
TAMAN PERWIRA JAYA,Tapah,Perak,Leasehold,Terrace House,169000.0,121.0,35
TANJUNG TEMASEK FASA 1,Ipoh,Perak,Leasehold,Terrace House,298800.0,226.0,35
TAMAN SELASIH INDAH,Kulim,Kedah,Freehold,Terrace House,542200.0,387.0,35
OSKAR RESIDENCE @SEREMBAN FOREST HEIGHTS,Ampangan,Negeri Sembilan,Freehold,Terrace House,669000.0,454.0,35
TAMAN PANTAI SEPANG PUTRA,Sepang,Selangor,Freehold,Bungalow,400000.0,109.0,35
SETIA ECO GARDEN,Gelang Patah,Johor,Freehold,Terrace House,527680.0,403.0,35
TAMAN SRI PULAI,Kulai,Johor,Freehold,Terrace House,380000.0,273.0,35
TAMAN NUSA IDAMAN,Iskandar Puteri (Nusajaya),Johor,Freehold,Semi D,780000.0,368.0,35
TAMAN LINTANG BISTARI,Sungai Siput,Perak,Leasehold,Terrace House,267284.0,175.0,35
TAMAN KEMPAS UTAMA,Skudai,Johor,Freehold,"Semi D, Cluster House",1000000.0,427.0,35
ECO GRANDEUR,Ijok,Selangor,Leasehold,"Bungalow, Terrace House",700000.0,438.0,35
TAMAN KELISA RIA FASA 1,Sungai Petani,Kedah,Freehold,"Terrace House, Semi D",250000.0,153.0,35
TAMAN RIA JAYA FASA 1,Sungai Petani,Kedah,Freehold,Terrace House,210000.0,155.0,35
PANORAMA LAPANGAN PERDANA,Ipoh,Perak,Freehold,Terrace House,568000.0,289.0,35
TAMAN RIA JAYA FASA 3,Sungai Petani,Kedah,Freehold,Terrace House,250000.0,158.0,35
TAMAN SRIKANDI,Telok Panglima Garang,Selangor,Leasehold,"Semi D, Terrace House",454220.0,258.0,35
Beverly Hills 3,Kota Kinabalu,Sabah,Leasehold,Apartment,250000.0,415.0,35
Kipark Apartment,Tampoi,Johor,Leasehold,Apartment,380000.0,443.0,35
Cyber City Apartment 1,Penampang,Sabah,Freehold,Apartment,240000.0,480.0,35
D'aman Crimson,Ara Damansara,Selangor,Freehold,Condominium,443000.0,420.0,35
TAMAN NUSAPUTRA TIMUR (REFLEXION),Dengkil,Selangor,Leasehold,Terrace House,1450000.0,944.0,34
TAMAN TIANG DUA BESTARI,Ayer Molek,Melaka,Freehold,"Cluster House, Terrace House",269100.0,175.0,34
TAMAN BUKIT SEMPANG,Merlimau,Melaka,Freehold,Terrace House,311650.0,186.0,34
BANDAR PERDANA (TERES),Sungai Petani,Kedah,Freehold,Terrace House,271000.0,175.0,34
TAMAN SRI KLUANG,Kluang,Johor,Freehold,Terrace House,307500.0,210.0,34
BANDAR UTAMA,Sungai Petani,Kedah,Freehold,"Terrace House, Bungalow",262500.0,164.0,34
ALAM DAMAI,Cheras,Kuala Lumpur,Leasehold,Terrace House,859000.0,458.0,34
TAMAN MIDAH,Cheras,Kuala Lumpur,Freehold,Terrace House,815000.0,490.0,34
TAMAN DATO HORMAT,Telok Panglima Garang,Selangor,Freehold,Terrace House,435000.0,293.0,34
BANDAR CYBER IPOH,Ipoh,Perak,Leasehold,Semi D,609000.0,252.0,34
TAMAN DESA HARMONI,Masai,Johor,Freehold,Terrace House,450000.0,306.0,34
TAMAN SRI SINAR,Segambut,Kuala Lumpur,Freehold,Terrace House,495000.0,663.0,34
TAMAN NUSA BESTARI,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,810000.0,407.0,34
BANDAR SRI INDAH,Tawau,Sabah,Leasehold,Terrace House,385000.0,169.0,34
Villa Wangsamas,Wangsa Maju,Kuala Lumpur,Freehold,Condominium,500000.0,386.0,34
Taman Terubong Jaya,Ayer Itam,Penang,Leasehold,Flat,165000.0,272.0,34
Lake View Suites,Tebrau,Johor,Freehold,Apartment,293000.0,359.0,34
9Ine (Residensi Sembilan),Cheras,Selangor,Freehold,Condominium,970000.0,801.0,34
Villa Krystal Apartment,Skudai,Johor,Freehold,Apartment,300000.0,336.0,34
SIERRA PERDANA,Masai,Johor,Freehold,"Terrace House, Cluster House",495000.0,361.0,33
TAMAN BUKIT MALURI,Kepong,Kuala Lumpur,Leasehold,Terrace House,890000.0,456.0,33
TAMAN WARISAN PUTERI,Ampangan,Negeri Sembilan,Freehold,"Semi D, Terrace House, Cluster House",433680.0,279.0,33
SETIA ECO GARDEN,Skudai,Johor,Freehold,Terrace House,650000.0,429.0,33
The Seed,Skudai,Johor,Freehold,Apartment,650000.0,516.0,33
The Garden Residences,Skudai,Johor,"Leasehold, Freehold",Service Residence,365000.0,437.0,33
Taman Cempaka,Tampoi,Johor,Leasehold,Flat,136000.0,246.0,33
TAMAN RAMBAI IDAMAN,Bukit Rambai,Melaka,"Freehold, Leasehold",Terrace House,295000.0,164.0,32
SS19,Subang Jaya,Selangor,Freehold,"Terrace House, Semi D",505000.0,541.0,32
SS3 PETALING JAYA,Petaling Jaya,Selangor,Freehold,"Terrace House, Bungalow",1565000.0,423.0,32
BK 5 - PERUMAHAN KINRARA,Bandar Kinrara,Selangor,Freehold,Terrace House,885000.0,540.0,32
TAMAN ANJUNG GAPAM,Bemban,Melaka,Leasehold,Bungalow,632000.0,136.0,32
USJ 6,Subang Jaya,Selangor,Freehold,Terrace House,694000.0,536.0,32
DESA RENING,Rasa,Selangor,Leasehold,"Terrace House, Semi D",439928.0,125.0,32
SEKSYEN 7 SHAH ALAM,Shah Alam,Selangor,Leasehold,Terrace House,740000.0,390.0,32
TAMAN SELASIH FASA 1,Kulim,Kedah,Freehold,Terrace House,275000.0,189.0,32
EAST LEDANG,Iskandar Puteri (Nusajaya),Johor,Freehold,"Semi D, Terrace House",1344000.0,340.0,32
TAMAN DURANDA EMAS,Kuching,Sarawak,Leasehold,Terrace House,180000.0,174.0,32
PUSAT BANDAR PUCHONG,Puchong,Selangor,Freehold,Terrace House,762500.0,531.0,32
TAMAN SRI LAMBAK,Simpang Rengam,Johor,Leasehold,Bungalow,335000.0,95.0,32
TAMAN SERI DUYONG,Duyong,Melaka,Leasehold,Terrace House,268000.0,157.0,32
TAMAN LAGENDA PUTRA,Kulai,Johor,Freehold,"Terrace House, Semi D",589000.0,328.0,32
TAMAN ECO FLORA,Tebrau,Johor,Freehold,Terrace House,880000.0,523.0,32
BISTARI PERDANA,Pasir Gudang,Johor,Freehold,Terrace House,460000.0,384.0,32
Seni Mont Kiara,Mont Kiara,Kuala Lumpur,Freehold,Condominium,2380000.0,801.0,32
1 Bukit Utama,Bandar Utama,Selangor,Freehold,Condominium,1269000.0,566.0,32
Pangsapuri Sri Kemuning,Shah Alam,Selangor,Freehold,Apartment,220000.0,292.0,32
Green Acre,Bandar Sungai Long,Selangor,Freehold,Condominium,550000.0,543.0,32
Sri Akasia,Tampoi,Johor,Leasehold,Apartment,380000.0,357.0,32
TAMAN SCIENTEX (BUKIT TAMBUN PERDANA),Durian Tunggal,Melaka,Freehold,Terrace House,267000.0,226.0,31
TAMAN LAHAT SENTOSA (MOSEY HILL),Ipoh,Perak,Leasehold,Terrace House,399880.0,207.0,31
TAMAN BIDOR BISTARI,Bidor,Perak,Leasehold,Terrace House,185000.0,132.0,31
TAMAN ASTANA CHEMOR,Ipoh,Perak,Leasehold,Terrace House,90000.0,102.0,31
TAMAN MERU PERDANA,Ipoh,Perak,Freehold,Terrace House,406700.0,305.0,31
PUNCAK ISKANDAR,Seri Iskandar,Perak,Leasehold,Terrace House,343040.0,245.0,31
TAMAN TOK MUDA,Kapar,Selangor,Freehold,Terrace House,397000.0,300.0,31
TAMAN MUTIARA PERDANA,Batu Pahat,Johor,Freehold,"Terrace House, Semi D",573000.0,206.0,31
TAMAN SRI ORKID,Skudai,Johor,Leasehold,Terrace House,618000.0,440.0,31
ULU SUNGAI MERAH,Sibu,Sarawak,Leasehold,Terrace House,430000.0,173.0,31
TAMAN PERTAMA,Ipoh,Perak,Leasehold,"Semi D, Terrace House",280000.0,174.0,31
TAMAN IRINGAN BAYU,Rantau,Negeri Sembilan,Freehold,"Terrace House, Semi D",472910.0,331.0,31
TAMAN SRI RAMBAI,Bukit Mertajam,Penang,Freehold,"Terrace House, Semi D",400000.0,179.0,31
TAMAN CHERAS PERDANA,Cheras,Selangor,Freehold,Terrace House,445000.0,361.0,31
SENIBONG COVE,Permas Jaya,Johor,Freehold,"Semi D, Terrace House",1680000.0,557.0,31
BANDAR SIBU JAYA,Sibu,Sarawak,Leasehold,Terrace House,200000.0,130.0,31
Residensi 22,Mont Kiara,Kuala Lumpur,Freehold,Condominium,2200000.0,1074.0,31
Flat Taman Perling,Perling,Johor,Freehold,Flat,150000.0,273.0,31
ARC @ Austin Hills,Johor Bahru,Johor,Freehold,Service Residence,360000.0,506.0,31
TAMAN KLUANG BARAT,Kluang,Johor,Freehold,"Terrace House, Semi D",176500.0,215.0,30
TAMAN RIA MESRA 2,Gurun,Kedah,Freehold,"Terrace House, Semi D",210000.0,136.0,30
SS22 & SS22A DAMANSARA JAYA,Petaling Jaya,Selangor,Freehold,Terrace House,1565000.0,656.0,30
TAMAN SERI ANDALAS,Klang,Selangor,Leasehold,"Semi D, Terrace House",475000.0,287.0,30
TAMAN RAIA PERMAI,Simpang Pulai,Perak,Leasehold,Terrace House,85000.0,65.0,30
TAMAN CASSIA,Alor Setar,Kedah,Freehold,Semi D,300000.0,117.0,30
BANDAR SELESA JAYA,Skudai,Johor,Freehold,Terrace House,462500.0,323.0,30
BANDAR PARKLANDS,Klang,Selangor,Freehold,Terrace House,879000.0,430.0,30
TAMAN IPOH,Ipoh,Perak,Freehold,Terrace House,347500.0,196.0,30
TAMAN MALIM JAYA,Bachang,Melaka,Leasehold,Terrace House,296500.0,243.0,30
TAMAN POKOK MANGGA,Balai Panjang,Melaka,"Freehold, Leasehold",Terrace House,325000.0,201.0,30
TAMAN KEMPAS INDAH,Tebrau,Johor,Freehold,"Cluster House, Terrace House",644000.0,333.0,30
TAMAN PANDAN PERDANA,Ampang,Selangor,Leasehold,Terrace House,722500.0,484.0,30
TAMAN GAMBANG DAMAI / DESA HIJAUAN,Hulu Lepar,Pahang,Leasehold,Terrace House,181500.0,141.0,30
TAMAN SAUJANA UTAMA,Saujana Utama,Selangor,Leasehold,Terrace House,497500.0,282.0,30
BUKIT ANAK DARA,Kijal,Terengganu,Freehold,Terrace House,274850.0,177.0,30
Endah Regal Condominium,Sri Petaling,Kuala Lumpur,Leasehold,Condominium,550000.0,482.0,30
The Astaka @ 1 Bukit Senyum,Johor Bahru,Johor,Freehold,Service Residence,2386358.0,1055.0,30
The Z Residence,Bukit Jalil,Kuala Lumpur,Freehold,Condominium,628000.0,493.0,30
Sri Saujana,Georgetown,Penang,Leasehold,Apartment,260000.0,402.0,30
TAMAN JUASSEH SENTOSA FASA 2,Juasseh,Negeri Sembilan,Freehold,Terrace House,249800.0,158.0,29
"TAMAN MELATI INDAH, PUNDUT",Lumut,Perak,Freehold,Terrace House,420000.0,270.0,29
PANORAMA LAPANGAN MUTIARA,Ipoh,Perak,Leasehold,Terrace House,435000.0,306.0,29
TAMAN ALAMANDA (KEDIAMAN),Bahau,Negeri Sembilan,Leasehold,Terrace House,239999.0,184.0,29
TAMAN SUNGAI RAMBAI MESRA,Sungai Rambai,Melaka,Freehold,Cluster House,367000.0,136.0,29
TAMAN MELODIES,Johor Bahru,Johor,Freehold,"Semi D, Bungalow",980000.0,275.0,29
TAMAN INTAN,Kluang,Johor,Freehold,Terrace House,220000.0,188.0,29
TAMAN DESA SAUJANA,Arau,Perlis,Freehold,"Semi D, Terrace House",414428.0,205.0,29
TAMAN PERDA INDAH,Tasek Gelugor,Penang,Freehold,Terrace House,343800.0,157.0,29
JADE HILLS,Kajang,Selangor,Freehold,"Semi D, Cluster House, Bungalow",2330000.0,495.0,29
ISLAND GLADES,Jelutong,Penang,Freehold,Terrace House,1000000.0,632.0,29
Seksyen 1 Wangsa Maju Flat,Wangsa Maju,Kuala Lumpur,Leasehold,Flat,220000.0,414.0,29
Taman Pelangi,Perai,Penang,Leasehold,Flat,100000.0,168.0,29
Twin Galaxy (Dwi Galaksi),Johor Bahru,Johor,Freehold,Service Residence,586000.0,641.0,29
TAMAN RIMBAYU,Tanjong Duabelas,Selangor,Leasehold,Terrace House,760000.0,500.0,28
BANGI AVENUE,Bangi,Selangor,Freehold,Terrace House,607500.0,418.0,28
TAMAN BIDORIA RESIDENSI,Bidor,Perak,Leasehold,Terrace House,245000.0,175.0,28
BERTAM PERDANA 2 - LAKEVIEW,Kepala Batas,Penang,Freehold,"Terrace House, Bungalow",618744.0,271.0,28
YARRA PARK (RESIDENSI SINAR),Sungai Petani,Kedah,Freehold,Terrace House,200000.0,143.0,28
TAMAN KOTA SELESA,Kota Tinggi,Johor,Freehold,Terrace House,424150.0,275.0,28
LOT 11666-11704 PERUMAHAN BALOK PERDANA,Sungai Karang,Pahang,Leasehold,Terrace House,315000.0,205.0,28
GREEN PAVILION RESIDENCE,Kulai,Johor,Freehold,Terrace House,685000.0,457.0,28
BANDAR BARU KAMPAR,Kampar,Perak,Leasehold,Terrace House,272500.0,195.0,28
PROTON CITY,Ulu Bernam,Perak,Freehold,Terrace House,467500.0,211.0,28
TAMAN PAYA RUMPUT PERDANA,Paya Rumput,Melaka,Freehold,"Bungalow, Town House",627500.0,158.0,28
TAMAN TANJUNG MINYAK PERDANA,Tanjong Minyak,Melaka,Leasehold,"Town House, Terrace House",300000.0,197.0,28
TAMAN SOON HUP(JALAN PERMAI),Sibu,Sarawak,Leasehold,Terrace House,377500.0,179.0,28
TAMAN SAUJANA PUCHONG,Puchong,Selangor,"Leasehold, Freehold",Terrace House,531000.0,374.0,28
LAMAN SETIA,Skudai,Johor,Freehold,Terrace House,650000.0,426.0,28
TAMAN KLEBANG PUTRA,Ipoh,Perak,Freehold,Terrace House,317600.0,209.0,28
TAMAN KELADI FASA 2,Sungai Petani,Kedah,Freehold,Terrace House,215000.0,176.0,28
TAMAN PEREPAT INDAH,Kapar,Selangor,Leasehold,Terrace House,371159.0,298.0,28
TAMAN BUKIT REBANA [SP HEIGHTS],Sungai Petani,Kedah,Freehold,Semi D,300000.0,114.0,28
TAMAN BUKIT MEWAH,Kajang,Selangor,Freehold,Terrace House,470000.0,328.0,28
BANDAR METRO PUCHONG,Puchong,Selangor,Leasehold,Terrace House,925000.0,547.0,28
TABUAN JAYA,Kuching,Sarawak,Leasehold,"Terrace House, Semi D",625000.0,216.0,28
LEISURE FARM,Gelang Patah,Johor,Freehold,"Town House, Semi D",650000.0,422.0,28
TAMAN NUSA DAMAI,Pasir Gudang,Johor,Freehold,Terrace House,365000.0,309.0,28
TAMAN INDAH JAYA,Sandakan,Sabah,Leasehold,Terrace House,395000.0,256.0,28
BANDAR BARU TRONOH (TAMAN TRONOH BARU),Tronoh,Perak,Leasehold,Terrace House,263000.0,190.0,28
Rampai Court,Wangsa Maju,Kuala Lumpur,Freehold,Apartment,231000.0,390.0,28
Nusa Heights (Nusa Puncak),Iskandar Puteri (Nusajaya),Johor,Freehold,Apartment,415000.0,451.0,28
Pangsapuri Persiaran Tanjung,Tampoi,Johor,Leasehold,Apartment,285000.0,297.0,28
Mutiara Condominium,Bukit Mertajam,Penang,Freehold,Condominium,260000.0,351.0,28
Ladang Tok Pelam,Kuala Terengganu,Terengganu,Leasehold,Apartment,232000.0,276.0,28
Seri Baiduri,Ulu Tiram,Johor,Freehold,Apartment,35000.0,50.0,28
Taman Bunga Negara,Shah Alam,Selangor,Freehold,Flat,207500.0,287.0,28
Flat Taman Melati,Setapak,Kuala Lumpur,Freehold,Flat,207500.0,326.0,28
TAMAN ANGSAMAS 2,Rasah,Negeri Sembilan,Freehold,Terrace House,80000.0,67.0,27
TAMAN KIARA,Kuala Selangor,Selangor,Freehold,Terrace House,308000.0,258.0,27
"SKIM PERUMAHAN PERAKKU, TANJUNG TUALANG",Tanjong Tualang,Perak,Leasehold,Terrace House,180000.0,117.0,27
TAMAN KAMPAR BESTARI,Kampar,Perak,Leasehold,"Terrace House, Semi D",269800.0,123.0,27
TAMAN BUKIT KOMAN 2,Raub,Pahang,Leasehold,Terrace House,297600.0,208.0,27
EVERGREEN GARDEN RESIDENCE,Cyberjaya,Selangor,Freehold,"Terrace House, Semi D",1450000.0,457.0,27
TAMAN SERI IPIL,Nibong Tebal,Penang,Freehold,"Semi D, Bungalow",520000.0,185.0,27
SETIA IMPIAN 4,Setia Alam,Selangor,Freehold,Terrace House,705000.0,538.0,27
TAMAN SUNGAI KAPAR INDAH,Kapar,Selangor,Freehold,Terrace House,450000.0,346.0,27
TAMAN RAWANG PERDANA,Rawang,Selangor,Freehold,Terrace House,460000.0,322.0,27
TAMAN KLEBANG RIA,Chemor,Perak,Freehold,Terrace House,398800.0,279.0,27
TAMAN SELAYANG MUTIARA,Selayang,Selangor,Leasehold,Semi D,450000.0,204.0,27
TAMAN DESA PUTERA,Klang,Selangor,"Leasehold, Freehold",Terrace House,548000.0,395.0,27
BANDAR AMANJAYA (ZON MAWAR),Sungai Petani,Kedah,Freehold,"Terrace House, Bungalow",240000.0,168.0,27
TAMAN DESA MURNI,Butterworth,Penang,"Freehold, Leasehold","Terrace House, Town House",350000.0,396.0,27
TAMAN INDAH SATELIT,Tampin,Negeri Sembilan,Freehold,Terrace House,285000.0,173.0,27
PELABUHAN KLANG,Port Klang,Selangor,Freehold,Terrace House,420000.0,249.0,27
"Teratai Mewah Apartment Block 15,17,19,21",Setapak,Kuala Lumpur,Freehold,Apartment,250000.0,373.0,27
Seksyen 24 Shah Alam,Shah Alam,Selangor,Leasehold,Flat,185000.0,292.0,27
Akasia,Klang,Selangor,Freehold,Apartment,380000.0,505.0,27
Taman Bunga Raya,Serendah,Selangor,Leasehold,Flat,130000.0,187.0,27
BK 4 - PERUMAHAN KINRARA,Bandar Kinrara,Selangor,Freehold,Terrace House,702500.0,434.0,26
IRAMA SENDAYAN 2B,Labu,Negeri Sembilan,Freehold,Terrace House,603444.0,424.0,26
DESA PARK CHEMOR,Ipoh,Perak,Freehold,Cluster House,338000.0,270.0,26
TAMAN KLEBANG PERDANA,Ipoh,Perak,Freehold,Terrace House,513967.0,364.0,26
TAMAN SRI PUTRI,Skudai,Johor,Freehold,Terrace House,540000.0,344.0,26
TAMAN IMPIANA BIDOR,Bidor,Perak,"Freehold, Leasehold",Terrace House,248960.0,162.0,26
TAMAN DAHLIA,Tampoi,Johor,Leasehold,Terrace House,300000.0,288.0,26
TAMAN SEMARAK,Tawau,Sabah,Leasehold,"Terrace House, Cluster House",200000.0,205.0,26
